run,time,timesteps,X:VCD,X:Glc,X:Gln,X:NH4,X:Lac,X:Titer,W:pH,W:Temp,F:Feed_Glc,F:Feed_Gln
82,13,312,1.29796247553351,11.1455126368441,21.4021920633565,36.1191542064473,88.9185524882259,591.241361721788,6.9,37.5,0.0,0.0
82,14,336,1.31810794967143,8.94762707625677,23.5160940645685,42.6693938968166,119.807639042482,722.873165410947,6.7,37.0,0.0,0.0
83,0,0,0.4,60.0,3.0,0.1,0.1,0.0,6.9,37.5,0.0,0.0
83,1,24,0.899092976633213,43.6286648403178,1.29280184725894,0.676358197382725,2.79201198247398,4.18574774941544,6.9,37.5,0.0,0.0
83,2,48,2.44921692073639,41.6459472620636,0.198393482963979,1.27532013962188,21.2138098211714,23.5125612390404,6.9,37.5,0.0,0.0
83,3,72,2.27068501177069,37.4339521787393,0.0,1.24848332599468,17.8190745874518,37.8885946672286,6.9,37.5,5.0,1.0
83,4,96,2.52669480274015,35.1064888653609,0.0,1.82946209625814,27.9530733423275,55.237611644759,6.9,37.5,5.0,1.0
83,5,120,4.07880644335131,25.2645375462409,0.0280910067228853,2.28370818447894,41.4813126817969,81.9052126631827,6.9,37.5,5.0,1.0
83,6,144,4.55862660370981,12.3536515675044,0.0636110942530739,3.95375542128275,58.7573378779906,154.764053751489,6.9,37.0,5.0,1.0
83,7,168,3.58679510994247,10.3690795578386,0.0664872023133512,5.5148419485736,59.8615100270028,216.247788253898,6.9,37.0,5.0,1.0
83,8,192,3.90974947929895,1.38749851028874,0.0,4.5157255193053,129.053957154747,275.884332661474,6.9,37.0,5.0,1.0
83,9,216,4.93636912709727,0.0,0.264473617582462,5.24064052969175,83.0789331863781,278.830457653209,6.9,37.0,5.0,1.0
83,10,240,4.23435704074955,0.328170482939396,0.817285925972405,4.50659109659866,111.599344459195,271.257918608188,6.9,37.0,5.0,1.0
83,11,264,4.04501170725481,0.0,1.07801050756295,3.81854728616826,116.716553151144,499.374907344245,6.9,37.0,5.0,1.0
83,12,288,4.59817803313692,0.406952760795131,0.947082957138421,5.14766879640479,95.5705106594367,586.630510808119,6.9,37.0,5.0,1.0
83,13,312,4.11356249815381,0.358204837581908,1.41638207039042,5.29660702579376,99.2831305378802,563.313585880642,6.9,37.0,0.0,0.0
83,14,336,3.89330557098387,0.129853373692693,1.03874887766981,4.89358650906206,140.403487100498,497.444611146429,7.0,37.0,0.0,0.0
84,0,0,0.2,60.0,3.0,0.1,0.1,0.0,6.9,36.0,0.0,0.0
84,1,24,0.3404596140937,40.6671639357753,2.6163326389213,0.844404344606143,3.0513947019068,11.959893268654,6.9,36.0,30.0,6.0
84,2,48,0.686810647327133,88.4015681244779,9.64577759423936,2.19308461776103,6.09715562319606,16.9960082192284,6.9,36.0,30.0,6.0
84,3,72,1.06219257225365,144.108380618877,9.23499923078269,4.95895710919142,10.5821737304075,17.3911744822212,6.9,36.0,30.0,6.0
84,4,96,1.18229845050559,146.792727479203,14.4700312442276,6.25640644486664,12.634706283005,34.3795068659054,6.9,36.0,30.0,6.0
84,5,120,1.40547873438382,179.077761198149,12.9351540679168,12.7917729530193,18.4023418760373,109.835128843995,6.9,36.0,30.0,6.0
